模型,采样方法,FPR,TPR,AUC,阈值
决策树,No Sampling,"[0.0, 0.17415730337078653, 1.0]","[0.0, 0.7894736842105263, 1.0]",0.8076581904198699,"[inf, 1.0, 0.0]"
决策树,SMOTE,"[0.0, 0.16292134831460675, 1.0]","[0.0, 0.8092105263157895, 1.0]",0.8231445890005913,"[inf, 1.0, 0.0]"
决策树,BorderlineSMOTE,"[0.0, 0.17415730337078653, 1.0]","[0.0, 0.8092105263157895, 1.0]",0.8175266114725015,"[inf, 1.0, 0.0]"
决策树,SMOTEENN,"[0.0, 0.30337078651685395, 1.0]","[0.0, 0.8157894736842105, 1.0]",0.7562093435836783,"[inf, 1.0, 0.0]"
随机森林,No Sampling,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.0056179775280898875, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.016853932584269662, 0.02247191011235955, 0.028089887640449437, 0.028089887640449437, 0.028089887640449437, 0.033707865168539325, 0.03932584269662921, 0.0449438202247191, 0.0449438202247191, 0.0449438202247191, 0.0449438202247191, 0.0449438202247191, 0.0449438202247191, 0.056179775280898875, 0.06179775280898876, 0.06179775280898876, 0.06179775280898876, 0.06179775280898876, 0.0898876404494382, 0.09550561797752809, 0.09550561797752809, 0.10112359550561797, 0.10112359550561797, 0.10674157303370786, 0.12359550561797752, 0.12359550561797752, 0.14606741573033707, 0.15168539325842698, 0.15730337078651685, 0.1853932584269663, 0.19662921348314608, 0.2247191011235955, 0.23595505617977527, 0.23595505617977527, 0.25842696629213485, 0.2808988764044944, 0.30337078651685395, 0.33707865168539325, 0.34269662921348315, 0.3539325842696629, 0.3595505617977528, 0.38202247191011235, 0.398876404494382, 0.42696629213483145, 0.449438202247191, 0.47752808988764045, 0.5224719101123596, 0.5393258426966292, 0.550561797752809, 0.5955056179775281, 0.6179775280898876, 0.6292134831460674, 0.6629213483146067, 0.6853932584269663, 0.6966292134831461, 0.7134831460674157, 0.7415730337078652, 0.8202247191011236, 0.8539325842696629, 0.8820224719101124, 0.898876404494382, 0.9213483146067416, 0.949438202247191, 0.9831460674157303, 0.9943820224719101, 1.0]","[0.0, 0.006578947368421052, 0.019736842105263157, 0.02631578947368421, 0.039473684210526314, 0.046052631578947366, 0.08552631578947369, 0.11842105263157894, 0.15789473684210525, 0.17763157894736842, 0.20394736842105263, 0.24342105263157895, 0.2894736842105263, 0.34868421052631576, 0.3881578947368421, 0.4342105263157895, 0.4605263157894737, 0.506578947368421, 0.5592105263157895, 0.5789473684210527, 0.5986842105263158, 0.6118421052631579, 0.631578947368421, 0.6513157894736842, 0.6973684210526315, 0.7171052631578947, 0.7236842105263158, 0.7697368421052632, 0.7697368421052632, 0.7763157894736842, 0.7960526315789473, 0.8092105263157895, 0.8421052631578947, 0.8421052631578947, 0.8486842105263158, 0.8552631578947368, 0.875, 0.8881578947368421, 0.8881578947368421, 0.8881578947368421, 0.8947368421052632, 0.9013157894736842, 0.9210526315789473, 0.9210526315789473, 0.9276315789473685, 0.9407894736842105, 0.9539473684210527, 0.9539473684210527, 0.9605263157894737, 0.9671052631578947, 0.9802631578947368, 0.993421052631579, 0.993421052631579, 0.993421052631579, 0.993421052631579, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9532266410408043,"[inf, 0.96, 0.95, 0.93, 0.91, 0.89, 0.87, 0.86, 0.84, 0.83, 0.82, 0.81, 0.8, 0.79, 0.78, 0.77, 0.76, 0.75, 0.73, 0.72, 0.71, 0.7, 0.69, 0.68, 0.67, 0.66, 0.65, 0.64, 0.63, 0.62, 0.61, 0.6, 0.55, 0.53, 0.52, 0.51, 0.5, 0.49, 0.48, 0.47, 0.46, 0.45, 0.44, 0.42, 0.41, 0.39, 0.38, 0.37, 0.36, 0.35, 0.33, 0.32, 0.3, 0.29, 0.28, 0.27, 0.25, 0.24, 0.23, 0.22, 0.21, 0.2, 0.19, 0.18, 0.17, 0.16, 0.15, 0.14, 0.13, 0.12, 0.11, 0.1, 0.08, 0.07, 0.06, 0.05, 0.04, 0.03, 0.02, 0.01, 0.0]"
随机森林,SMOTE,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.011235955056179775, 0.011235955056179775, 0.011235955056179775, 0.011235955056179775, 0.011235955056179775, 0.016853932584269662, 0.016853932584269662, 0.02247191011235955, 0.02247191011235955, 0.02247191011235955, 0.02247191011235955, 0.02247191011235955, 0.028089887640449437, 0.033707865168539325, 0.0449438202247191, 0.0449438202247191, 0.0449438202247191, 0.056179775280898875, 0.056179775280898875, 0.056179775280898875, 0.056179775280898875, 0.056179775280898875, 0.056179775280898875, 0.06179775280898876, 0.06741573033707865, 0.06741573033707865, 0.08426966292134831, 0.08426966292134831, 0.0898876404494382, 0.10112359550561797, 0.11235955056179775, 0.11235955056179775, 0.11797752808988764, 0.1348314606741573, 0.15730337078651685, 0.16853932584269662, 0.17415730337078653, 0.1853932584269663, 0.20224719101123595, 0.20786516853932585, 0.2247191011235955, 0.24719101123595505, 0.24719101123595505, 0.2752808988764045, 0.29213483146067415, 0.29775280898876405, 0.3202247191011236, 0.33146067415730335, 0.3539325842696629, 0.3707865168539326, 0.398876404494382, 0.43258426966292135, 0.43258426966292135, 0.4438202247191011, 0.4606741573033708, 0.5168539325842697, 0.5224719101123596, 0.5337078651685393, 0.5674157303370787, 0.5898876404494382, 0.601123595505618, 0.6348314606741573, 0.6741573033707865, 0.6966292134831461, 0.7303370786516854, 0.7584269662921348, 0.7640449438202247, 0.8146067415730337, 0.8820224719101124, 0.9044943820224719, 0.949438202247191, 0.9719101123595506, 0.9887640449438202, 1.0]","[0.0, 0.006578947368421052, 0.019736842105263157, 0.05921052631578947, 0.08552631578947369, 0.10526315789473684, 0.125, 0.1513157894736842, 0.21052631578947367, 0.23026315789473684, 0.23684210526315788, 0.2631578947368421, 0.3026315789473684, 0.3157894736842105, 0.3618421052631579, 0.4342105263157895, 0.45394736842105265, 0.5, 0.5394736842105263, 0.5526315789473685, 0.5657894736842105, 0.5855263157894737, 0.5986842105263158, 0.6578947368421053, 0.7236842105263158, 0.7302631578947368, 0.743421052631579, 0.756578947368421, 0.7828947368421053, 0.7960526315789473, 0.8157894736842105, 0.8421052631578947, 0.8486842105263158, 0.875, 0.881578947368421, 0.8881578947368421, 0.8881578947368421, 0.9013157894736842, 0.9078947368421053, 0.9144736842105263, 0.9144736842105263, 0.9210526315789473, 0.9210526315789473, 0.9276315789473685, 0.9276315789473685, 0.9342105263157895, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9605263157894737, 0.9671052631578947, 0.9802631578947368, 0.9802631578947368, 0.9802631578947368, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.993421052631579, 0.993421052631579, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9514895032525132,"[inf, 0.97, 0.9, 0.89, 0.88, 0.87, 0.86, 0.85, 0.84, 0.83, 0.82, 0.81, 0.8, 0.79, 0.78, 0.77, 0.76, 0.75, 0.74, 0.73, 0.72, 0.71, 0.7, 0.67, 0.65, 0.64, 0.63, 0.61, 0.6, 0.59, 0.57, 0.56, 0.55, 0.53, 0.52, 0.51, 0.5, 0.49, 0.48, 0.47, 0.46, 0.45, 0.44, 0.43, 0.42, 0.41, 0.4, 0.39, 0.38, 0.37, 0.36, 0.35, 0.34, 0.33, 0.32, 0.31, 0.29, 0.28, 0.27, 0.26, 0.25, 0.24, 0.23, 0.21, 0.2, 0.19, 0.18, 0.17, 0.16, 0.15, 0.14, 0.13, 0.11, 0.1, 0.09, 0.08, 0.06, 0.05, 0.04, 0.03, 0.02, 0.0]"
随机森林,BorderlineSMOTE,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.011235955056179775, 0.016853932584269662, 0.016853932584269662, 0.016853932584269662, 0.028089887640449437, 0.028089887640449437, 0.028089887640449437, 0.028089887640449437, 0.033707865168539325, 0.033707865168539325, 0.03932584269662921, 0.03932584269662921, 0.03932584269662921, 0.0449438202247191, 0.05056179775280899, 0.05056179775280899, 0.056179775280898875, 0.056179775280898875, 0.056179775280898875, 0.06179775280898876, 0.06741573033707865, 0.06741573033707865, 0.06741573033707865, 0.07303370786516854, 0.07865168539325842, 0.07865168539325842, 0.08426966292134831, 0.09550561797752809, 0.10112359550561797, 0.10674157303370786, 0.12359550561797752, 0.12921348314606743, 0.15730337078651685, 0.17415730337078653, 0.1853932584269663, 0.2303370786516854, 0.25280898876404495, 0.2696629213483146, 0.28651685393258425, 0.29213483146067415, 0.3146067415730337, 0.3258426966292135, 0.34269662921348315, 0.3539325842696629, 0.38202247191011235, 0.4044943820224719, 0.4157303370786517, 0.43258426966292135, 0.4438202247191011, 0.4606741573033708, 0.46629213483146065, 0.48314606741573035, 0.5056179775280899, 0.5393258426966292, 0.6067415730337079, 0.6348314606741573, 0.6685393258426966, 0.7078651685393258, 0.7247191011235955, 0.7696629213483146, 0.797752808988764, 0.848314606741573, 0.9044943820224719, 0.9438202247191011, 0.9719101123595506, 0.9943820224719101, 1.0]","[0.0, 0.006578947368421052, 0.019736842105263157, 0.03289473684210526, 0.05263157894736842, 0.06578947368421052, 0.09868421052631579, 0.10526315789473684, 0.13815789473684212, 0.23026315789473684, 0.25, 0.2894736842105263, 0.29605263157894735, 0.32894736842105265, 0.34210526315789475, 0.42105263157894735, 0.4407894736842105, 0.5197368421052632, 0.5328947368421053, 0.5723684210526315, 0.5789473684210527, 0.5986842105263158, 0.618421052631579, 0.6447368421052632, 0.6578947368421053, 0.6776315789473685, 0.7105263157894737, 0.75, 0.7631578947368421, 0.7763157894736842, 0.7894736842105263, 0.8092105263157895, 0.8421052631578947, 0.868421052631579, 0.868421052631579, 0.875, 0.8881578947368421, 0.8881578947368421, 0.8881578947368421, 0.9013157894736842, 0.9276315789473685, 0.9276315789473685, 0.9342105263157895, 0.9473684210526315, 0.9473684210526315, 0.9539473684210527, 0.9736842105263158, 0.9802631578947368, 0.9802631578947368, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9550376995860438,"[inf, 0.96, 0.92, 0.91, 0.9, 0.88, 0.87, 0.86, 0.85, 0.83, 0.82, 0.81, 0.8, 0.79, 0.78, 0.76, 0.75, 0.73, 0.72, 0.71, 0.7, 0.69, 0.68, 0.67, 0.66, 0.65, 0.64, 0.63, 0.62, 0.6, 0.59, 0.58, 0.57, 0.53, 0.52, 0.51, 0.49, 0.48, 0.47, 0.46, 0.45, 0.44, 0.42, 0.41, 0.4, 0.39, 0.38, 0.37, 0.36, 0.35, 0.34, 0.32, 0.31, 0.3, 0.29, 0.28, 0.27, 0.26, 0.25, 0.24, 0.23, 0.22, 0.21, 0.2, 0.18, 0.16, 0.15, 0.13, 0.12, 0.11, 0.09, 0.08, 0.07, 0.05, 0.03, 0.02, 0.01, 0.0]"
随机森林,SMOTEENN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.011235955056179775, 0.016853932584269662, 0.016853932584269662, 0.02247191011235955, 0.02247191011235955, 0.033707865168539325, 0.033707865168539325, 0.0449438202247191, 0.05056179775280899, 0.06179775280898876, 0.06741573033707865, 0.07303370786516854, 0.07303370786516854, 0.07865168539325842, 0.08426966292134831, 0.0898876404494382, 0.10674157303370786, 0.11797752808988764, 0.11797752808988764, 0.11797752808988764, 0.1404494382022472, 0.15168539325842698, 0.20786516853932585, 0.2247191011235955, 0.23595505617977527, 0.25280898876404495, 0.2640449438202247, 0.29775280898876405, 0.3089887640449438, 0.3202247191011236, 0.3258426966292135, 0.33707865168539325, 0.3595505617977528, 0.37640449438202245, 0.38764044943820225, 0.39325842696629215, 0.4157303370786517, 0.43258426966292135, 0.4550561797752809, 0.46629213483146065, 0.47191011235955055, 0.4887640449438202, 0.5, 0.5224719101123596, 0.5393258426966292, 0.5730337078651685, 0.5955056179775281, 0.6292134831460674, 0.651685393258427, 0.6685393258426966, 0.6966292134831461, 0.7078651685393258, 0.7415730337078652, 0.7471910112359551, 0.7808988764044944, 0.7921348314606742, 0.8258426966292135, 0.8595505617977528, 0.9044943820224719, 0.949438202247191, 0.9662921348314607, 0.9775280898876404, 1.0]","[0.0, 0.006578947368421052, 0.03289473684210526, 0.039473684210526314, 0.05921052631578947, 0.1118421052631579, 0.15789473684210525, 0.19736842105263158, 0.24342105263157895, 0.2631578947368421, 0.3157894736842105, 0.375, 0.4407894736842105, 0.46710526315789475, 0.506578947368421, 0.5592105263157895, 0.5986842105263158, 0.631578947368421, 0.6842105263157895, 0.7039473684210527, 0.7171052631578947, 0.7631578947368421, 0.7763157894736842, 0.7894736842105263, 0.8092105263157895, 0.8355263157894737, 0.8486842105263158, 0.8618421052631579, 0.881578947368421, 0.8881578947368421, 0.9276315789473685, 0.9342105263157895, 0.9473684210526315, 0.9605263157894737, 0.9671052631578947, 0.9671052631578947, 0.9671052631578947, 0.9671052631578947, 0.9736842105263158, 0.9736842105263158, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.9868421052631579, 0.993421052631579, 0.993421052631579, 0.993421052631579, 0.993421052631579, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9518036664695446,"[inf, 0.96, 0.94, 0.93, 0.92, 0.91, 0.9, 0.89, 0.88, 0.87, 0.86, 0.85, 0.84, 0.83, 0.82, 0.81, 0.8, 0.79, 0.76, 0.75, 0.74, 0.73, 0.72, 0.71, 0.7, 0.69, 0.68, 0.67, 0.65, 0.64, 0.62, 0.61, 0.6, 0.58, 0.57, 0.56, 0.55, 0.54, 0.53, 0.52, 0.5, 0.49, 0.48, 0.47, 0.46, 0.45, 0.44, 0.43, 0.41, 0.4, 0.38, 0.37, 0.35, 0.34, 0.33, 0.32, 0.29, 0.28, 0.27, 0.26, 0.25, 0.24, 0.23, 0.21, 0.2, 0.18, 0.17, 0.16, 0.13, 0.1, 0.06, 0.05, 0.04, 0.0]"
SVM,No Sampling,"[0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.011235955056179775, 0.016853932584269662, 0.016853932584269662, 0.02247191011235955, 0.02247191011235955, 0.028089887640449437, 0.028089887640449437, 0.033707865168539325, 0.033707865168539325, 0.03932584269662921, 0.03932584269662921, 0.056179775280898875, 0.056179775280898875, 0.06179775280898876, 0.06179775280898876, 0.09550561797752809, 0.09550561797752809, 0.10674157303370786, 0.10674157303370786, 0.11235955056179775, 0.11235955056179775, 0.11797752808988764, 0.11797752808988764, 0.1348314606741573, 0.1348314606741573, 0.1404494382022472, 0.1404494382022472, 0.2303370786516854, 0.2303370786516854, 1.0]","[0.0, 0.006578947368421052, 0.7368421052631579, 0.7368421052631579, 0.743421052631579, 0.743421052631579, 0.8026315789473685, 0.8026315789473685, 0.8223684210526315, 0.8223684210526315, 0.8289473684210527, 0.8289473684210527, 0.8552631578947368, 0.8552631578947368, 0.8881578947368421, 0.8881578947368421, 0.9210526315789473, 0.9210526315789473, 0.9342105263157895, 0.9342105263157895, 0.9539473684210527, 0.9539473684210527, 0.9605263157894737, 0.9605263157894737, 0.9671052631578947, 0.9671052631578947, 0.9736842105263158, 0.9736842105263158, 0.9802631578947368, 0.9802631578947368, 0.9868421052631579, 0.9868421052631579, 0.993421052631579, 0.993421052631579, 1.0, 1.0]",0.9875443524541692,"[inf, 0.9999285807983931, 0.948689500482796, 0.9460480338510797, 0.9399281910832757, 0.9386566587868425, 0.8817655004393204, 0.8602149900019785, 0.837757165932276, 0.8368037587297638, 0.8232125173935319, 0.7824244521202445, 0.7349894714517343, 0.7087756577870727, 0.6379442525268132, 0.6233548071916456, 0.5932892166748096, 0.5411717162149312, 0.5126931134715143, 0.4747630621269537, 0.4232400247083828, 0.34959474015381803, 0.34338789229233935, 0.3267508221742166, 0.32494852081317854, 0.3090082678162256, 0.2961343498940187, 0.2896066465678881, 0.27152092091988933, 0.23760038036882766, 0.23033952930660576, 0.2216604176020515, 0.19881526364255556, 0.04012672260081697, 0.03432336847692238, 4.761995741155649e-10]"
SVM,SMOTE,"[0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.011235955056179775, 0.016853932584269662, 0.016853932584269662, 0.02247191011235955, 0.02247191011235955, 0.028089887640449437, 0.028089887640449437, 0.033707865168539325, 0.033707865168539325, 0.03932584269662921, 0.03932584269662921, 0.0449438202247191, 0.0449438202247191, 0.11797752808988764, 0.11797752808988764, 0.12359550561797752, 0.12359550561797752, 0.14606741573033707, 0.14606741573033707, 0.16853932584269662, 0.16853932584269662, 0.2303370786516854, 0.2303370786516854, 1.0]","[0.0, 0.006578947368421052, 0.23026315789473684, 0.23026315789473684, 0.2631578947368421, 0.2631578947368421, 0.5, 0.5, 0.5460526315789473, 0.5460526315789473, 0.631578947368421, 0.631578947368421, 0.9144736842105263, 0.9144736842105263, 0.9210526315789473, 0.9210526315789473, 0.9473684210526315, 0.9473684210526315, 0.9671052631578947, 0.9671052631578947, 0.9736842105263158, 0.9736842105263158, 0.9802631578947368, 0.9802631578947368, 0.9868421052631579, 0.9868421052631579, 0.993421052631579, 0.993421052631579, 1.0, 1.0]",0.9791913069189828,"[inf, 0.9999996135902967, 0.9998343551077975, 0.9998041561542976, 0.9997464702528572, 0.9997316044102157, 0.9958714202414798, 0.9955660450385347, 0.9936799531604494, 0.9936544877397244, 0.9863704004471274, 0.9852944888112865, 0.6864332943780318, 0.644885482269058, 0.6376010976350918, 0.6336869017027694, 0.5555346926234362, 0.5451761191594389, 0.4996343296730597, 0.31057987080679594, 0.3089214195607635, 0.29826673031396855, 0.29774558325890516, 0.20522252743507416, 0.18698027931054495, 0.13645375395998574, 0.13617296700100165, 0.041571495786530424, 0.041025166014359765, 2.8626034069332213e-10]"
