fold,方法,高质量F1,中质量F1,低质量F1,高质量精确率,高质量召回率,宏平均F1,平衡准确率,G-均值
1,逻辑回归 + NoSampling,0.4444444444444444,0.9771986970684039,0.9941860465116279,1.0,0.2857142857142857,0.8052763960081588,0.7575187969924811,0.6557322480954342
2,逻辑回归 + NoSampling,0.7692307692307693,0.9838187702265372,0.9940828402366864,1.0,0.625,0.915710793231331,0.871078431372549,0.851621844102799
3,逻辑回归 + NoSampling,0.8571428571428571,0.9803921568627451,0.9882352941176471,1.0,0.75,0.9419234360410832,0.9083591331269351,0.9009964882910457
4,逻辑回归 + NoSampling,0.4,0.9681528662420382,0.9880952380952381,1.0,0.25,0.7854160347790922,0.7421568627450981,0.6249803915416826
5,逻辑回归 + NoSampling,0.8,0.9671052631578947,0.9794721407624634,0.8571428571428571,0.75,0.915525801306786,0.9000393736364458,0.8933891433555499
1,逻辑回归 + SMOTE,0.875,0.9866666666666667,0.9941860465116279,0.7777777777777778,1.0,0.9519509043927649,0.9912280701754387,0.9911499783452196
2,逻辑回归 + SMOTE,0.7272727272727273,0.9700996677740864,0.9910979228486647,0.5714285714285714,1.0,0.8961567726318261,0.9809597523219814,0.9808266838865257
3,逻辑回归 + SMOTE,0.7619047619047619,0.9666666666666667,0.9852507374631269,0.6153846153846154,1.0,0.9046073886781851,0.9787667698658411,0.9785822213879772
4,逻辑回归 + SMOTE,0.8,0.9673202614379085,0.9820359281437125,0.6666666666666666,1.0,0.9164520631938737,0.9794633642930858,0.9793494521308476
5,逻辑回归 + SMOTE,0.8421052631578947,0.9668874172185431,0.9793510324483776,0.7272727272727273,1.0,0.9294479042749385,0.9792158837122239,0.979105060854881
1,逻辑回归 + GAN,0.7142857142857143,0.9801324503311258,0.9941860465116279,0.7142857142857143,0.7142857142857143,0.8962014037094894,0.8959899749373434,0.8859924694536783
2,逻辑回归 + GAN,0.625,0.9738562091503268,0.9940828402366864,0.625,0.625,0.8643130164623377,0.8644994840041279,0.8459817988820356
3,逻辑回归 + GAN,0.8235294117647058,0.976897689768977,0.9882352941176471,0.7777777777777778,0.875,0.9295541318837767,0.945639834881321,0.9442685247347404
4,逻辑回归 + GAN,0.7058823529411765,0.9706840390879479,0.9880952380952381,0.6666666666666666,0.75,0.8882205433747875,0.9022445820433437,0.8954081372768228
5,逻辑回归 + GAN,0.8421052631578947,0.9634551495016611,0.9764705882352941,0.7272727272727273,1.0,0.92734366696495,0.9770083781934602,0.9768645380109062
